"ZCTA5CE10","pc_park"
"61880",0.089
"53548",2.257
"61882",0.272
"37714",47.707
"37715",45.765
"33823",11.843
"37716",0.666
"37719",0
"37721",1.766
"37722",34.8
"02568",6.171
"02571",9.177
"02575",16.575
"02576",2.602
"02584",0
"02601",8.598
"02630",12.233
"02631",23.825
"02632",17.687
"02633",6.634
"02635",5.511
"02637",1.085
"02638",15.261
"02639",7.718
"02641",19.467
"02642",24.356
"02643",35.319
"02644",4.379
"02645",15.529
"02646",3.188
"02647",1.01
"02648",17.373
"02649",21.709
"02650",0.045
"75161",0.042
"75163",0
"75164",0
"70503",2.256
"80487",50.655
"80488",0
"80497",96.061
"70506",0.588
"80498",77.87
"75165",0.375
"70507",2.697
"75166",24.436
"75167",0
"80501",7.335
"70508",0.883
"75169",0.64
"80503",20.768
"75172",2.895
"75173",18.484
"70510",1.294
"75180",1.8
"70512",0
"70513",0
"75181",3.042
"42055",16.6
"42056",15.527
"42058",0
"42060",0
"42061",0
"42064",1.369
"48601",15.376
"42066",0.053
"42069",0
"48602",5.754
"27305",0
"27306",4.701
"27310",1.646
"27311",0
"27312",4.101
"27313",2.547
"27314",1.797
"27315",0
"27316",0.09
"27317",0.281
"27320",0.719
"27325",0.008
"27326",0
"27330",0.801
"27332",0.046
"27340",0
"27341",0.008
"27343",0
"27344",0.165
"27349",0
"27350",0.048
"27355",0
"27356",1.086
"27357",0.162
"27358",3.655
"27360",1.064
"27370",0
"27371",30.332
"27376",0.725
"27377",4.311
"27379",18.668
"27401",7.019
"27403",6.433
"27405",3.517
"27406",2.038
"43569",0.772
"43570",0.382
"43571",15.656
"43604",3.349
"43605",7.777
"43606",13.522
"43607",2.952
"41274",0
"41301",9.101
"41311",4.89
"41314",8.192
"41317",27.105
"41332",0.221
"41339",2.63
"41348",0.008
"41352",0
"41360",74.842
"41365",1.55
"41366",0
"41367",16.404
"41385",0
"73165",12.748
"72002",0.076
"73169",0
"72003",0
"84405",5.269
"73170",3.471
"73173",0.01
"73179",0.037
"72004",6.261
"72005",0
"84414",9.366
"72006",8.27
"72007",0
"84501",35.506
"72010",17.085
"84511",62.702
"72011",0
"84512",4.14
"72012",0.675
"84513",0.638
"73401",8.104
"73425",0
"84515",88.7
"84516",28.797
"72013",1.73
"94542",16.99
"94544",18.221
"94545",47.64
"94546",39.706
"94547",4.109
"94548",0
"94549",19.032
"94550",9.922
"94551",20.195
"94552",15.879
"94553",19.721
"94555",56.66
"94556",5.239
"94558",22.591
"94559",34.724
"94560",4.463
"94561",1.825
"94563",29.028
"94564",16.996
"94565",7.981
"94566",9.475
"94567",42.37
"94568",7.592
"94569",16.517
"94571",7.44
"94572",2.772
"42566",0
"48837",2.048
"39601",2.164
"42567",0.06
"39629",0
"48838",13.469
"39630",0.22
"42602",9.239
"42603",2.995
"48840",13.991
"39631",0
"48841",0.726
"42629",30.897
"42631",0
"39633",29.894
"39635",0
"48842",4.358
"39638",24.813
"39641",0
"39643",0
"42633",8.149
"48843",5.867
"42634",76.279
"48845",6.201
"42635",30.513
"42638",0.029
"39645",2.244
"39647",21.961
"42642",7.15
"48846",4.476
"95968",0.271
"95969",3.258
"95970",3.053
"95971",63.16
"95973",14.897
"95974",0.025
"95975",12.568
"95977",28.749
"95978",15.019
"95979",47.036
"95981",54.243
"95982",0.707
"95983",82.35
"95984",80.438
"95986",50.932
"95987",12.451
"95988",4.529
"95991",9.408
"95993",1.988
